t,rotX
1e-06,1.09227e-10
0.010002,0.00520327
0.020003,0.0197855
0.030004,0.0423322
0.040005,0.0715818
0.050006,0.106414
0.060007,0.145718
0.070008,0.188068
0.080009,0.23214
0.09001,0.276817
0.100011,0.32117
0.110012,0.36446
0.120013,0.406193
0.130014,0.446002
0.140015,0.483601
0.150016,0.518778
0.160017,0.551454
0.170018,0.581857
0.180019,0.610272
0.19002,0.636963
0.200021,0.662176
0.210022,0.686102
0.220023,0.708781
0.230024,0.730223
0.240025,0.750452
0.250026,0.7695
0.260027,0.787478
0.270028,0.804766
0.280029,0.82177
0.29003,0.838844
0.300031,0.856299
0.310032,0.874312
0.320033,0.892683
0.330034,0.911163
0.340035,0.929539
0.350036,0.947637
0.360037,0.965393
0.370038,0.983068
0.380039,1.00098
0.39004,1.01943
0.400041,1.03868
0.410042,1.05875
0.420043,1.07886
0.430044,1.09814
0.440045,1.11591
0.450046,1.13162
0.460047,1.14501
0.470048,1.15647
0.480049,1.16651
0.49005,1.17557
0.500051,1.18404
0.510052,1.19221
0.520053,1.20011
0.530054,1.20772
0.540055,1.21503
0.550056,1.22203
0.560057,1.22867
0.570058,1.23475
0.580059,1.24005
0.59006,1.24441
0.600061,1.24769
0.610062,1.24984
0.620063,1.25098
0.630064,1.25127
0.640065,1.25085
0.650066,1.24984
0.660067,1.24846
0.670068,1.2473
0.680069,1.24697
0.69007,1.24801
0.700071,1.25091
0.710072,1.25598
0.720073,1.26304
0.730074,1.27182
0.740075,1.2821
0.750076,1.29365
0.760077,1.30629
0.770078,1.31992
0.780079,1.33443
0.79008,1.34974
0.800081,1.36578
0.810082,1.38232
0.820083,1.39874
0.830084,1.41437
0.840085,1.42868
0.850086,1.44124
0.860087,1.45183
0.870088,1.46073
0.880089,1.46831
0.89009,1.47491
0.900091,1.48081
0.910092,1.48623
0.920093,1.4911
0.930094,1.49536
0.940095,1.49893
0.950096,1.50176
0.960097,1.50385
0.970098,1.50524
0.980099,1.50599
0.9901,1.50618
1.0001,1.50585
1.0101,1.50502
1.0201,1.50358
1.0301,1.5014
1.04011,1.49837
1.05011,1.49442
1.06011,1.48958
1.07011,1.48415
1.08011,1.47848
1.09011,1.47289
1.10011,1.46763
1.11011,1.46279
1.12011,1.45798
1.13011,1.45273
1.14011,1.44665
1.15012,1.43943
1.16012,1.43086
1.17012,1.42101
1.18012,1.41001
1.19012,1.39798
1.20012,1.38504
1.21012,1.37137
1.22012,1.35748
1.23012,1.34389
1.24012,1.33105
1.25013,1.31935
1.26013,1.30918
1.27013,1.30107
1.28013,1.29555
1.29013,1.29306
1.30013,1.29399
1.31013,1.29843
1.32013,1.30564
1.33013,1.31474
1.34013,1.325
1.35014,1.33574
1.36014,1.3466
1.37014,1.35801
1.38014,1.37054
1.39014,1.38466
1.40014,1.40081
1.41014,1.41925
1.42014,1.43981
1.43014,1.46221
1.44014,1.48623
1.45015,1.51165
1.46015,1.53821
1.47015,1.56548
1.48015,1.59303
1.49015,1.62051
1.50015,1.64759
1.51015,1.67398
1.52015,1.69933
1.53015,1.7233
1.54015,1.74563
1.55016,1.76608
1.56016,1.78445
1.57016,1.80055
1.58016,1.8142
1.59016,1.82527
1.60016,1.83366
1.61016,1.83936
1.62016,1.84251
1.63016,1.84328
1.64016,1.84186
1.65017,1.83842
1.66017,1.83313
1.67017,1.82624
1.68017,1.81801
1.69017,1.80865
1.70017,1.79836
1.71017,1.78724
1.72017,1.77499
1.73017,1.76129
1.74017,1.74586
1.75018,1.72848
1.76018,1.70912
1.77018,1.6882
1.78018,1.66621
1.79018,1.64359
1.80018,1.62072
1.81018,1.59786
1.82018,1.57492
1.83018,1.55175
1.84018,1.52823
1.85019,1.50424
1.86019,1.47995
1.87019,1.45634
1.88019,1.4345
1.89019,1.41538
1.90019,1.39983
1.91019,1.38842
1.92019,1.3811
1.93019,1.37765
1.94019,1.37786
1.9502,1.38151
1.9602,1.38844
1.9702,1.39851
1.9802,1.41162
1.9902,1.42768
2.0002,1.44657
2.0102,1.46812
2.0202,1.49195
2.0302,1.51768
2.0402,1.54492
2.05021,1.57337
2.06021,1.60261
2.07021,1.63193
2.08021,1.66059
2.09021,1.68796
2.10021,1.71351
2.11021,1.73685
2.12021,1.75802
2.13021,1.77713
2.14021,1.79431
2.15022,1.80965
2.16022,1.82331
2.17022,1.83556
2.18022,1.84668
2.19022,1.85692
2.20022,1.86649
2.21022,1.87571
2.22022,1.88517
2.23022,1.8955
2.24022,1.90724
2.25023,1.92087
2.26023,1.93671
2.27023,1.95455
2.28023,1.97408
2.29023,1.99506
2.30023,2.01721
2.31023,2.04044
2.32023,2.06501
2.33023,2.09127
2.34023,2.1195
2.35024,2.14997
2.36024,2.18265
2.37024,2.21676
2.38024,2.25139
2.39024,2.28576
2.40024,2.31916
2.41024,2.35101
2.42024,2.38079
2.43024,2.4081
2.44024,2.43259
2.45025,2.45394
2.46025,2.4721
2.47025,2.48764
2.48025,2.50123
2.49025,2.51349
2.50025,2.52497
2.51025,2.53603
2.52025,2.54648
2.53025,2.55603
2.54026,2.56444
2.55026,2.57149
2.56026,2.57702
2.57026,2.58092
2.58026,2.5831
2.59026,2.58351
2.60026,2.58211
2.61026,2.57884
2.62026,2.57355
2.63026,2.56609
2.64027,2.55635
2.65027,2.54423
2.66027,2.52981
2.67027,2.5137
2.68027,2.49654
2.69027,2.47894
2.70027,2.46144
2.71027,2.44449
2.72027,2.42838
2.73027,2.41336
2.74028,2.39962
2.75028,2.38735
2.76028,2.37679
2.77028,2.36857
2.78028,2.36333
2.79028,2.36165
2.80028,2.36403
2.81028,2.37064
2.82028,2.38064
2.83028,2.39304
2.84029,2.40696
2.85029,2.42159
2.86029,2.43622
2.87029,2.45028
2.88029,2.46326
2.89029,2.47473
2.90029,2.48428
2.91029,2.49169
2.92029,2.49714
2.93029,2.50092
2.9403,2.50328
2.9503,2.50443
2.9603,2.50457
2.9703,2.50386
2.9803,2.50242
2.9903,2.50035
3.0003,2.49777
3.0103,2.49466
3.0203,2.49068
3.0303,2.48541
3.04031,2.47852
3.05031,2.46969
3.06031,2.45864
3.07031,2.44498
3.08031,2.42836
3.09031,2.40847
3.10031,2.38505
3.11031,2.35802
3.12031,2.32772
3.13031,2.29458
3.14032,2.259
3.15032,2.22133
3.16032,2.18202
3.17032,2.1418
3.18032,2.10141
3.19032,2.06152
3.20032,2.02272
3.21032,1.98546
3.22032,1.94976
3.23032,1.91558
3.24033,1.88285
3.25033,1.85152
3.26033,1.82157
3.27033,1.79305
3.28033,1.76605
3.29033,1.74063
3.30033,1.71684
3.31033,1.69475
3.32033,1.67456
3.33033,1.65644
3.34034,1.64057
3.35034,1.62706
3.36034,1.6159
3.37034,1.60659
3.38034,1.59854
3.39034,1.59124
3.40034,1.58422
3.41034,1.57713
3.42034,1.56993
3.43034,1.56264
3.44035,1.55528
3.45035,1.54788
3.46035,1.5451
3.47035,1.55082
3.48035,1.56478
3.49035,1.5867
3.50035,1.61634
3.51035,1.65355
3.52035,1.69845
3.53035,1.75125
3.54036,1.81215
3.55036,1.88137
3.56036,1.9591
3.57036,2.04531
3.58036,2.13992
3.59036,2.24289
3.60036,2.35416
3.61036,2.47374
3.62036,2.60182
3.63036,2.73863
3.64037,2.88442
3.65037,3.03941
3.66037,3.20381
3.67037,3.37768
3.68037,3.56107
3.69037,3.75402
3.70037,3.95657
3.71037,4.16883
3.72037,4.391
3.73037,4.62335
3.74038,4.86614
3.75038,5.11962
3.76038,5.3839
3.77038,5.65855
3.78038,5.94301
3.79038,6.23676
3.80038,6.53927
3.81038,6.85015
3.82038,7.16941
3.83038,7.49715
3.84039,7.83347
3.85039,8.17847
3.86039,8.53227
3.87039,8.89502
3.88039,9.26685
3.89039,9.64791
3.90039,10.0383
3.91039,10.4382
3.92039,10.8472
3.93039,11.2653
3.9404,11.6922
3.9504,12.1277
3.9604,12.5716
3.9704,13.0239
3.9804,13.4845
3.9904,13.9534
4.0004,14.4307
4.0104,14.9163
4.0204,15.4109
4.0304,15.915
4.04041,16.4295
4.05041,16.9547
4.06041,17.4914
4.07041,18.0398
4.08041,18.6001
4.09041,19.1725
4.10041,19.7572
4.11041,20.3544
4.12041,20.9636
4.13041,21.5845
4.14042,22.2166
4.15042,22.8595
4.16042,23.5128
4.17042,24.1762
4.18042,24.8493
4.19042,25.532
4.20042,26.2237
4.21042,26.9243
4.22042,27.6334
4.23042,28.3507
4.24043,29.0758
4.25043,29.8084
4.26043,30.5481
4.27043,31.2943
4.28043,32.0465
4.29043,32.8043
4.30043,33.5669
4.31043,34.3341
4.32043,35.1057
4.33043,35.8819
4.34044,36.6627
4.35044,37.4481
4.36044,38.2382
4.37044,39.0325
4.38044,39.8306
4.39044,40.6321
4.40044,41.4364
4.41044,42.2432
4.42044,43.0517
4.43044,43.8614
4.44045,44.6718
4.45045,45.482
4.46045,46.2915
4.47045,47.0995
4.48045,47.9053
4.49045,48.7082
4.50045,49.5074
4.51045,50.302
4.52045,51.0909
4.53045,51.8729
4.54046,52.6467
4.55046,53.4111
4.56046,54.1648
4.57046,54.9065
4.58046,55.6351
4.59046,56.3493
4.60046,57.0477
4.61046,57.7286
4.62046,58.3902
4.63046,59.0306
4.64047,59.6478
4.65047,60.2396
4.66047,60.804
4.67047,61.339
4.68047,61.8425
4.69047,62.3124
4.70047,62.7465
4.71047,63.1428
4.72047,63.499
4.73047,63.8131
4.74048,64.0831
4.75048,64.3074
4.76048,64.4844
4.77048,64.6128
4.78048,64.6917
4.79048,64.7205
4.80048,64.6987
4.81048,64.6265
4.82048,64.5043
4.83048,64.3326
4.84049,64.1125
4.85049,63.845
4.86049,63.5318
4.87049,63.1743
4.88049,62.7745
4.89049,62.3341
4.90049,61.8553
4.91049,61.3401
4.92049,60.7904
4.93049,60.2083
4.9405,59.5959
4.9505,58.9549
4.9605,58.2874
4.9705,57.5949
4.9805,56.8792
4.9905,56.1419
5.0005,55.3844
5.0105,54.6082
5.0205,53.8144
5.0305,53.0044
5.04051,52.1793
5.05051,51.34
5.06051,50.4877
5.07051,49.6232
5.08051,48.7475
5.09051,47.8615
5.10051,46.9659
5.11051,46.0616
5.12051,45.1492
5.13051,44.2295
5.14052,43.303
5.15052,42.3704
5.16052,41.4322
5.17052,40.4891
5.18052,39.5415
5.19052,38.5901
5.20052,37.6353
5.21052,36.6777
5.22052,35.7175
5.23052,34.7552
5.24053,33.7911
5.25053,32.8254
5.26053,31.8585
5.27053,30.8909
5.28053,29.9233
5.29053,28.956
5.30053,27.9898
5.31053,27.0252
5.32053,26.0626
5.33053,25.1024
5.34054,24.1451
5.35054,23.191
5.36054,22.2405
5.37054,21.2937
5.38054,20.3507
5.39054,19.4114
5.40054,18.476
5.41054,17.5444
5.42054,16.6164
5.43054,15.6918
5.44055,14.7702
5.45055,13.8514
5.46055,12.9351
5.47055,12.0212
5.48055,11.1099
5.49055,10.201
5.50055,9.29469
5.51055,8.39083
5.52055,7.48935
5.53055,6.59012
5.54056,5.693
5.55056,4.79785
5.56056,3.90441
5.57056,3.01208
5.58056,2.12015
5.59056,1.22783
5.60056,0.334269
5.61056,-0.561289
5.62056,-1.45906
5.63056,-2.35917
5.64057,-3.26174
5.65057,-4.16692
5.66057,-5.07499
5.67057,-5.98657
5.68057,-6.90234
5.69057,-7.823
5.70057,-8.74925
5.71057,-9.68171
5.72057,-10.6208
5.73057,-11.5668
5.74058,-12.5201
5.75058,-13.481
5.76058,-14.4501
5.77058,-15.4281
5.78058,-16.4156
5.79058,-17.4136
5.80058,-18.4229
5.81058,-19.4441
5.82058,-20.478
5.83058,-21.5252
5.84059,-22.5862
5.85059,-23.6618
5.86059,-24.7525
5.87059,-25.8591
5.88059,-26.982
5.89059,-28.122
5.90059,-29.2797
5.91059,-30.4559
5.92059,-31.6517
5.93059,-32.8683
5.9406,-34.1069
5.9506,-35.3687
5.9606,-36.655
5.9706,-37.9668
