t,rotY
1e-06,1.50774e-10
0.010002,0.0071083
0.020003,0.026714
0.030004,0.056414
0.040005,0.0940308
0.050006,0.13761
0.060007,0.185443
0.070008,0.236128
0.080009,0.28847
0.09001,0.34143
0.100011,0.394125
0.110012,0.445787
0.120013,0.495691
0.130014,0.543231
0.140015,0.587933
0.150016,0.629442
0.160017,0.667503
0.170018,0.701931
0.180019,0.732616
0.19002,0.759517
0.200021,0.782654
0.210022,0.802119
0.220023,0.818128
0.230024,0.830939
0.240025,0.840814
0.250026,0.848021
0.260027,0.852832
0.270028,0.855535
0.280029,0.856416
0.29003,0.855744
0.300031,0.853775
0.310032,0.850749
0.320033,0.84691
0.330034,0.842482
0.340035,0.83766
0.350036,0.83262
0.360037,0.827583
0.370038,0.823019
0.380039,0.819404
0.39004,0.81715
0.400041,0.816612
0.410042,0.817975
0.420043,0.82094
0.430044,0.825129
0.440045,0.830205
0.450046,0.835871
0.460047,0.841891
0.470048,0.848145
0.480049,0.85455
0.49005,0.861035
0.500051,0.867537
0.510052,0.87403
0.520053,0.880579
0.530054,0.887261
0.540055,0.894142
0.550056,0.901277
0.560057,0.908641
0.570058,0.915949
0.580059,0.922901
0.59006,0.929247
0.600061,0.934787
0.610062,0.939388
0.620063,0.943044
0.630064,0.945788
0.640065,0.947656
0.650066,0.948697
0.660067,0.948888
0.670068,0.947958
0.680069,0.945611
0.69007,0.941595
0.700071,0.9357
0.710072,0.927875
0.720073,0.918548
0.730074,0.908216
0.740075,0.897318
0.750076,0.886241
0.760077,0.875284
0.770078,0.864571
0.780079,0.854174
0.79008,0.844151
0.800081,0.834546
0.810082,0.825422
0.820083,0.81694
0.830084,0.809256
0.840085,0.802492
0.850086,0.796736
0.860087,0.792049
0.870088,0.788452
0.880089,0.78595
0.89009,0.784535
0.900091,0.784189
0.910092,0.78483
0.920093,0.786175
0.930094,0.787924
0.940095,0.789812
0.950096,0.791608
0.960097,0.793122
0.970098,0.794215
0.980099,0.794779
0.9901,0.794727
1.0001,0.793991
1.0101,0.792511
1.0201,0.790199
1.0301,0.786984
1.04011,0.782816
1.05011,0.777666
1.06011,0.77161
1.07011,0.76505
1.08011,0.758419
